1	的	624301877	0.0773024
2	是	108108733	0.0906887
3	在	105380725	0.103737
4	了	96265984	0.115657
5	和	90248462	0.126832
6	年	72925757	0.135862
7	一	69741863	0.144497
8	有	53953847	0.151178
9	中	51194326	0.157517
10	这	50133891	0.163725
11	人	48231686	0.169697
12	不	45235825	0.175298
13	对	39281651	0.180162
14	为	38459666	0.184924
15	上	37275365	0.189539
16	第	36614740	0.194073
17	种	34496241	0.198345
18	与	33250492	0.202462
19	发展	31388567	0.206348
20	他	30897707	0.210174
21	社会	30742632	0.213981
22	我	29978591	0.217693
23	一个	29687469	0.221369
24	也	29669351	0.225042
25	中国	29499537	0.228695
26	到	29482435	0.232346
27	经济	28795406	0.235911
28	月	28216978	0.239405
29	个	25458087	0.242557
30	而	24296757	0.245566
31	来	24040280	0.248543
32	之	23484227	0.25145
33	性	23403320	0.254348
34	企业	23205140	0.257222
35	大	23115323	0.260084
36	工作	22853277	0.262914
37	我们	22537030	0.265704
38	说	22155254	0.268447
39	十	21902180	0.271159
40	会	20477837	0.273695
41	就	20098206	0.276184
42	地	19686689	0.278621
43	研究	19595956	0.281048
44	要	19333621	0.283442
45	都	19321716	0.285834
46	以	18914353	0.288176
47	问题	18766700	0.2905
48	国家	18673184	0.292812
49	其	18506986	0.295104
50	并	18463029	0.29739
51	日	18285811	0.299654
52	但	17580824	0.301831
53	于	17558302	0.304005
54	可以	17261611	0.306142
55	管理	16567793	0.308194
56	从	16196014	0.310199
57	二	16142290	0.312198
58	所	16032425	0.314183
59	时	15773446	0.316136
60	公司	15756386	0.318087
61	没有	15725548	0.320034
62	三	15607138	0.321967
63	等	15428483	0.323877
64	进行	15287624	0.32577
65	政府	15098864	0.32764
66	主义	14864918	0.32948
67	者	14823743	0.331316
68	他们	14727687	0.33314
69	还	14694817	0.334959
70	多	14620344	0.336769
71	文化	14294697	0.338539
72	着	14030152	0.340277
73	市场	13744107	0.341978
74	下	13634325	0.343667
75	各	13587839	0.345349
76	新	13445887	0.347014
77	自己	13289686	0.34866
78	化	13276351	0.350304
79	人民	13263216	0.351946
80	将	13206362	0.353581
81	教育	13161538	0.355211
82	方面	12866360	0.356804
83	出	12774329	0.358386
84	后	12771465	0.359967
85	两	12395885	0.361502
86	技术	12218907	0.363015
87	看	11562746	0.364447
88	建设	11520337	0.365873
89	很	11412308	0.367286
90	组织	11346260	0.368691
91	关系	11170689	0.370074
92	主要	11167691	0.371457
93	元	11108922	0.372833
94	重要	10991336	0.374194
95	它	10798968	0.375531
96	生产	10529447	0.376834
97	或	10500331	0.378135
98	就是	10484886	0.379433
99	及	10309093	0.380709
100	间	10267421	0.381981
101	更	10132638	0.383235
102	能	10050859	0.38448
103	此	9767655	0.385689
104	制度	9694136	0.38689
105	通过	9603906	0.388079
106	万	9548894	0.389261
107	由	9500794	0.390438
108	历史	9375400	0.391599
109	政治	9213355	0.392739
110	你	9198926	0.393878
111	好	9171656	0.395014
112	这些	9166141	0.396149
113	学	9144278	0.397281
114	不同	9109728	0.398409
115	情况	8992871	0.399523
116	地区	8943037	0.40063
117	影响	8916912	0.401734
118	使	8900627	0.402836
119	世界	8872137	0.403935
120	被	8699663	0.405012
121	可能	8668330	0.406085
122	规定	8656740	0.407157
123	可	8587802	0.408221
124	生活	8577344	0.409283
125	这个	8568788	0.410344
126	不是	8442274	0.411389
127	活动	8419138	0.412432
128	服务	8302569	0.41346
129	部	8288898	0.414486
130	国	8208027	0.415502
131	把	8114856	0.416507
132	用	8060149	0.417505
133	改革	8043665	0.418501
134	投资	8000884	0.419492
135	这样	7998909	0.420482
136	基础	7920865	0.421463
137	其他	7897810	0.422441
138	我国	7861708	0.423414
139	科学	7783425	0.424378
140	业	7755357	0.425338
141	认为	7752781	0.426298
142	出版	7712364	0.427253
143	国际	7710721	0.428208
144	要求	7653547	0.429156
145	政策	7634857	0.430101
146	同时	7622660	0.431045
147	需要	7612483	0.431988
148	高	7587997	0.432927
149	信息	7563443	0.433864
150	次	7553758	0.434799
151	家	7552499	0.435734
152	法	7551507	0.436669
153	四	7498497	0.437598
154	思想	7489552	0.438525
155	作为	7444572	0.439447
156	部门	7427023	0.440367
157	因为	7417157	0.441285
158	最	7383795	0.442199
159	美国	7371325	0.443112
160	一些	7349333	0.444022
161	做	7299255	0.444926
162	因此	7294772	0.445829
163	由于	7288873	0.446732
164	环境	7284417	0.447634
165	建立	7269596	0.448534
166	市	7233118	0.449429
167	向	7213195	0.450322
168	五	7178971	0.451211
169	具有	7171807	0.452099
170	不能	7166493	0.452987
171	如果	7148515	0.453872
172	基本	7134209	0.454755
173	民族	7112797	0.455636
174	系统	7079977	0.456513
175	总	7003960	0.45738
176	法律	6965047	0.458242
177	应	6949686	0.459103
178	什么	6933544	0.459961
179	又	6925729	0.460819
180	必须	6883522	0.461671
181	人员	6876826	0.462523
182	长	6850026	0.463371
183	本	6794664	0.464212
184	内	6772514	0.465051
185	结构	6767817	0.465889
186	她	6753745	0.466725
187	有关	6744723	0.46756
188	成为	6702151	0.46839
189	代表	6664264	0.469215
190	产品	6606058	0.470033
191	过程	6584839	0.470849
192	存在	6577979	0.471663
193	作用	6531856	0.472472
194	方式	6467273	0.473273
195	资源	6459750	0.474073
196	过	6458205	0.474872
197	以及	6450833	0.475671
198	社	6417378	0.476466
